headline,label,
SAP Leads the Way to Industry Cloud,Story,
Oxford Economics and SAP Survey Results Reveal the Importance of Responsive Retail,Partnership,
SAP Named a Leader Among Digital Experience Platform Providers,Award,
SAP Recognized for the Sixth Consecutive Year as a Leader in Gartnerâ€™s Magic Quadrant for Sales Performance Management,Award,
OpenPeak and SAP Announce Plans to Maximize Mobile Productivity for Enterprises to Run Simple,Partnership,
SAP to Host Press Conference and Financial Analyst and Investor Conference from SAPPHIRE NOW,Merger/Invest,
Direct Relief International Lets Goodwill Flow With SAP,Story,
"SAP Completes Acquisition of SuccessFactors, Inc.",Merger/Invest,
SAP Appoints New Chief Diversity and Inclusion Officer,People,
"SAP is a Leader in the Financial Performance, Strategy Management and GRC Applications Market by Share",Award,
SAP Announces Third Quarter and Nine Months 2014 Results,Financials,
SAP to Announce First Quarter 2014 Earnings,Financials,
Agilent Technologies Selects SAP to Drive World-Class Customer Service,Partnership,
IBM and SAP Announce New Offerings to Help Companiesâ€?Journey to the Intelligent Enterprise,Partnership,
SAP and Jasper Team Up on IoT Services Initiative,Partnership,
Enterprises Across the Globe Put People First with SAP SuccessFactors Solutions,Story,
SAP Raises Dividend to 1.25 Euro,Financials,
SAP to Mobilize Human Resources With Latest Apps Release,Partnership,
SAP Celebrates 40 Years of Innovation,Story,
SAP Invests in Livelihoods Fund to Fight Climate Change and Poverty,Merger/Invest,
"Procurement and Supply Chain Leaders Set to Inspire During Virtual SAP Ariba Live, March 18",Award,
"SAP Positioned in Leaders Quadrant of Magic Quadrant for Enterprise Governance, Risk and Compliance Platforms for 2012",Award,
Gartner Positions SAP a â€œLeaderâ€?in Magic Quadrant for Single-Instance ERP for Product-Centric Midmarket Companies for Fourth Consecutive Year,Award,
"Latest Versions of SAP Transportation Management, SAP Extended Warehouse Management and SAP Event Management Now Available",Partnership,
SAP to Extend Business Opportunities for Partners With Launch of SAP Business One OnDemand,Partnership,
Graham Construction Selects the ETM.next Solution to Digitally Transform Equipment and Tools Management,Story,
SAP Announces Third-Quarter Sustainability Achievements,Financials,
Solutions powered by SAP HANA Now Offered Via Subscription,Solution,
SAP Receives 2016 IoT Evolution Product of the Year Award,Award,
"SAPâ€™s Recruiting Team, Technology and Strategy Honored by Industry Leader ERE Media",Award,
SAP and Customers Innovate New Ways for Industry-Specific Parts Planning,Partnership,
SAP Scores Big in Global Sustainability Rankings and Continues Path as Industry Leader,Award,
"SAP Mobilizes Retail, Connecting Retailers With Consumers to Transform the Shopping Experience and Boost Customer Loyalty",Story,
SAP Hires Ritu Bhargava as Chief Product Officer for SAP Customer Experience; Bob Stutz Retiring After a Trailblazing Career in the Tech Industry,People,
SAP Announces Availability of 2008 Annual Report and U.S. Securities and Exchange Commission Filing on Form 20-F,Financials,
SAP Cloud Platform Simplifies App Development and Accelerates Customer Innovation,Partnership,
SAP Cloud Identity Access Governance Delivers Dynamic Insights and Continuous Access Monitoring,Partnership,
SAP Announces 2005 Second Quarter and Six Months Results,Financials,
"U.K. Office of Fair Trading Approves SAP Acquisition of Ariba, Inc.",Merger/Invest,
SAP Digital for Customer Engagement Solution Receives 2015 CUSTOMER Magazine TMC Labs Innovation Award,Award,
SAP to Announce Results for the First Quarter of 2015,Financials,
SAP Offers ERP and CRM Trials in the Cloud Powered by Rapid-Deployment Solutions,Partnership,
SAP HANA to Help Itron Accelerate Utility Customersâ€?Digital Transformation,Story,
SAP Announces Second Quarter and Half-Year 2020 Results,Financials,
SAP to Release First Quarter 2021 Results,Financials,
SAP Partners with Ecosystem to Guide Customers to the Cloud,Partnership,
SAP Delivers New EIM Innovations to Help Customers Gain Trusted Information for Better Analytics and Business Processes,Partnership,
Healthcare Organizations Expect Significant Impact from Digital Transformation in Next Two Years,Story,
SAP Announces Preliminary Third Quarter and Nine Months 2015 Results,Financials,
Customers Innovate With SAP HANA,Story,
Independent Research Firm Names SAP a Leader in Translytical Data Platforms,Merger/Invest,
SAP Positioned as a Leader in 2019 Gartner â€œMagic Quadrant for Data Integration Toolsâ€?Award,,
Leading Companies Digitalizing Spend Management with SAP Solutions to Thrive During Uncertainty,Partnership,
SAP Raises Dividend Policy to 40% or More of Profit after Tax; Recommends a Dividend of â‚?.40 per Share,Financials,
SAP to Announce Results for First Quarter of 2018 on April 24,Financials,
StepStone Steps Up to the Cloud With SAP Business ByDesign Solution; SAP Continues to Deliver Customer Momentum and New Product Innovations,Partnership,
"Businesses Leading in Digital Transformation Derive Greater Value from Diversity, According to Research from SAP and Oxford Economics",Partnership,
SAP Delivers Massive Wave of Innovation for SAP S/4HANA,Story,
Survey of SAP Customers Gives High Acclaims to SAP InfiniteInsight Solution for Speed and Ease of Use,Solution,
